_id,data,hora,natureza_acidente,situacao,bairro,endereco,numero,detalhe_endereco_acidente,complemento,bairro_cruzamento,tipo,auto,ciclom,moto,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,num_semaforo,sentido_via,descricao,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1,divisao_via2,divisao_via3
1,2020-01-01T00:00:00,00:39:00,SEM VÍTIMA,CANCELADA,ÁGUA FRIA,RUA SAO SEBASTIAO,1687,,EM FRENTE A IGREJA UNIVERSAL,ÁGUA FRIA,COLISÃO,2,,,,,,,,,0,,,,COLISÃO ENTRE DOIS AUTOS S/V,,,,,,,,,,,,,
2,2020-01-01T00:00:00,01:04:00,SEM VÍTIMA,FINALIZADA,CORDEIRO,AV CAXANGA,1444,AV GENERAL SAN MARTIN,,CORDEIRO,ABALROAMENTO LONGITUDINAL,2,,,,,,,,,0,,80,SUBURBIO,COLISÃO ENTRE DOIS AUTOS S/V,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,,60 km/h,Dupla,Canteiro central,,
3,2020-01-01T00:00:00,02:16:00,SEM VÍTIMA,FINALIZADA,AREIAS,AV RECIFE,,,LADO OPOSTO AO RESIDENCIAL IGNEZ ANDREAZZA,AREIAS,CHOQUE VEÍCULO PARADO,2,,,,,,,,,0,,494,SUBURBIO,COLISÃO ENTRE DOIS AUTOS S/V,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,,Dupla,Canteiro central,,
4,2020-01-01T00:00:00,02:22:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,AV BOA VIAGEM,,,EM FRENTE AO 1º JARDIM B. VIAGEM,BOA VIAGEM,COLISÃO TRASEIRA,2,,,,,,,,,0,,,CIDADE,COLISÃO ENTRE DOIS AUTOS S/V,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,,Única,Faixa seccionada,,
5,2020-01-01T00:00:00,03:33:00,SEM VÍTIMA,FINALIZADA,PAISSANDU,AV GOVERNADOR AGAMENON MAGALHAES,,,CAIXA ECONÔMICA FEDERAL ILHA DO LEITE,PAISSANDU,ABALROAMENTO TRANSVERSAL,2,,,,,,,,,0,,672,SUBURBIO,COLISÃOENTRE DOIS AUTOS S/V,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,,Única,Faixa contínua,Faixa seccionada,Canteiro central
6,2020-01-01T00:00:00,04:18:00,SEM VÍTIMA,FINALIZADA,BARRO,AV DR JOSE RUFINO,,,,BARRO,COLISÃO TRASEIRA,2,,,,,,,,,0,,,SUBURBIO,COLISÃO ENTRE DOIS AUTOS S/V,Longo da via,Bom,Não existe,Ilegível,Seca,Mal conservada,Não existe,Não há placas,,Dupla,Faixa seccionada,,
7,2020-01-01T00:00:00,04:47:00,SEM VÍTIMA,FINALIZADA,PINA,AV CONSELHEIRO AGUIAR,,AV HERCULANO BANDEIRA,,PINA,CHOQUE OBJETO FIXO,1,,,,,,,,,0,,138,,AUTO CHOCOU-SE EM MURO DE UMA RESIDENCIA E EM UM POSTE S/V,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,,Única,Faixa seccionada,,
8,2020-01-01T00:00:00,09:06:00,COM VÍTIMA,FINALIZADA,PINA,AVENIDA CELSO FURTADO (VIA MANGUE),,,PROX: SHOPPING RIO MAR . ULTIMA CURVA ANTES DO SHPPING RIO MAR,PINA,CHOQUE OBJETO FIXO,,,1,,,,,,,2,,,BOA VIAGEM,COLISAO COM DUAS VITIMA. MOTO COM GLADIO  DA VIA,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,,Não há placas,60 km/h,Dupla,Faixa seccionada,,
9,2020-01-01T00:00:00,10:07:00,COM VÍTIMA,FINALIZADA,MADALENA,EST DOS REMEDIOS,2328,,LADO OPOSTO AO LESSA DE ANDRADE,MADALENA,CHOQUE OBJETO FIXO,1,,,,,,,,,1,,,SUBURBIO,PEGEOUT SE CHOCOU COM POSTE E COM O GRADIL DA LOJA DE VEÍCULOS PROVOCANDO AVARIAS EM UM VEÍCULO,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Placas Pare,,Única,Faixa seccionada,,
10,2020-01-01T00:00:00,12:09:00,SEM VÍTIMA,FINALIZADA,NOVA DESCOBERTA,RUA NOVA DESCOBERTA,1335,,,NOVA DESCOBERTA,CHOQUE VEÍCULO PARADO,1,,,,,,1,,,0,,,CIDADE,COLISÃO SEM VÍTIMA,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Faixa seccionada,,
